Field	 Weight	 Level	 Norm	 dim(all)	 dim(plus)	 dim(minus)
7	2	(5)	 25		1		0		1
7	2	(-2+4a)	 28		1		1		0
7	2	(6)	 36		1		0		1
7	2	(2+4a)	 44		1		1		0
7	2	(-1+5a)	 46		1		1		0
7	2	(5a)	 50		2		0		2
7	2	(6+2a)	 56		2		2		0
7	2	(-3+6a)	 63		1		1		0
7	2	(8)	 64		1		0		1
7	2	(6a)	 72		2		0		2
7	2	(1+6a)	 79		1		0		1
7	2	(4+5a)	 86		1		1		0
7	2	(-3+7a)	 86		1		1		0
7	2	(8+2a)	 88		2		2		0
7	2	(7+3a)	 88		1		1		0
7	2	(2+6a)	 88		3		3		0
7	2	(-2+7a)	 88		1		1		0
7	2	(9+a)	 92		2		2		0
7	2	(6+4a)	 92		2		2		0
7	2	(10)	 100		5		0		5
7	2	(5+5a)	 100		3		0		3
7	2	(8+3a)	 106		1		0		1
7	2	(4+6a)	 112		4		3		1
7	2	(-4+8a)	 112		4		4		0
7	2	(2+7a)	 116		1		0		1
7	2	(-2+8a)	 116		1		0		1
7	2	(11)	 121		3		1		2
7	2	(9+3a)	 126		2		2		0
7	2	(8a)	 128		3		1		2
7	2	(12)	 144		5		0		5
7	2	(6+6a)	 144		4		0		4
7	2	(8+5a)	 154		1		0		1
7	2	(-1+9a)	 154		1		0		1
7	2	(12+a)	 158		3		1		2
7	2	(5+7a)	 158		2		0		2
7	2	(3+8a)	 161		1		1		0
7	2	(7+6a)	 163		1		0		1
7	2	(13)	 169		5		0		5
7	2	(11+3a)	 172		2		2		0
7	2	(10+4a)	 172		4		4		0
7	2	(1+9a)	 172		2		2		0
7	2	(-5+10a) 175		5		3		2
7	2	(12+2a)	 176		8		7		1
7	2	(9+5a)	 176		3		2		1
7	2	(6+7a)	 176		3		2		1
7	2	(4+8a)	 176		6		6		0
7	2	(-4+10a) 176		5		5		0
7	2	(8+6a)	 184		4		3		1
7	2	(2+9a)	 184		3		3		0
7	2	(-2+10a) 184		6		5		1
7	2	(14)	 196		5		3		2
7	2	(3+9a)	 198		1		0		1
7	2	(10+5a)	 200		5		1		4
7	2	(10a)	 200		8		0		8
