Field	 Weight	 Level	 Norm	 dim(all)	 dim(plus)	 dim(minus)
3	2	(7)	 49		1		0		1
3	2	(8+w)	 73		1		1		0
3	2	(5+5w)	 75		1		1		0
3	2	(10)	 100		1		0		1
3	2	(11)	 121		2		1		1
3	2	(10+2w)	 124		2		1		1
3	2	(7+7w)	 147		3		1		2
3	2	(13)	 169		1		0		1
3	2	(9+6w)	 171		2		1		1
3	2	(8+8w)	 192		1		1		0
3	2	(14)	 196		3		1		2
3	2	(11+5w)	 201		1		0		1
3	2	(10+7w)	 219		2		2		0
3	2	(15)	 225		3		2		1
3	2	(14+2w)	 228		1		1		0
3	2	(15+w)	 241		2		1		1
3	2	(16+w)	 273		1		1		0
3	2	(11+8w)	 273		1		1		0
3	2	(13+6w)	 283		1		1		0
3	2	(17)	 289		2		1		1
3	2	(16+2w)	 292		2		2		0
3	2	(10+10w) 300		5		3		2
3	2	(18)	 324		2		1		1
3	2	(15+5w)	 325		1		0		1
3	2	(14+7w)	 343		3		1		2
3	2	(19)	 361		3		1		2
3	2	(11+11w) 363		5		3		2
3	2	(14+8w)	 372		4		2		2
3	2	(15+7w)	 379		1		1		0
3	2	(17+5w)	 399		1		1		0
3	2	(13+10w) 399		2		0		2
3	2	(20)	 400		3		1		2
3	2	(18+4w)	 412		1		1		0
3	2	(16+7w)	 417		2		1		1
3	2	(18+5w)	 439		1		0		1
3	2	(21)	 441		7		3		4
3	2	(13+12w) 469		2		0		2
3	2	(15+10w) 475		2		1		1
3	2	(16+9w)	 481		3		1		2
3	2	(22)	 484		5		2		3
3	2	(17+8w)	 489		1		0		1
3	2	(20+4w)	 496		4		2		2
