## SL2 field_label weight(automorphic) level(HNF) cusp-dim new-cusp-dim
2.0.19.1 3 [112,4,4] 12 0
2.0.19.1 4 [112,4,4] 22 0
2.0.19.1 2 [1125,0,15] 61 9
2.0.19.1 2 [1125,285,3] 20 0
2.0.19.1 2 [1125,60,15] 61 9
2.0.19.1 2 [1125,87,3] 20 0
2.0.19.1 2 [1127,1093,1] 6 6
2.0.19.1 2 [1127,309,1] 12 4
2.0.19.1 2 [1127,33,1] 6 6
2.0.19.1 2 [1127,70,7] 19 1
2.0.19.1 2 [1127,817,1] 12 4
2.0.19.1 2 [1127,84,7] 19 1
2.0.19.1 2 [1132,198,2] 2 0
2.0.19.1 2 [1132,366,2] 2 0
2.0.19.1 2 [1141,1065,1] 0 0
2.0.19.1 2 [1141,250,1] 0 0
2.0.19.1 2 [1141,75,1] 0 0
2.0.19.1 2 [1141,890,1] 0 0
2.0.19.1 2 [1145,1005,1] 1 1
2.0.19.1 2 [1145,1055,1] 0 0
2.0.19.1 2 [1145,139,1] 1 1
2.0.19.1 2 [1145,89,1] 0 0
2.0.19.1 2 [115,10,1] 0 0
2.0.19.1 3 [115,10,1] 4 0
2.0.19.1 4 [115,10,1] 8 0
2.0.19.1 2 [115,104,1] 0 0
2.0.19.1 3 [115,104,1] 4 0
2.0.19.1 4 [115,104,1] 8 0
2.0.19.1 2 [115,35,1] 0 0
2.0.19.1 3 [115,35,1] 4 0
2.0.19.1 4 [115,35,1] 8 0
2.0.19.1 2 [115,79,1] 0 0
2.0.19.1 3 [115,79,1] 4 0
2.0.19.1 4 [115,79,1] 8 0
2.0.19.1 2 [11,8,1] 0 0
2.0.19.1 3 [11,8,1] 2 0
2.0.19.1 4 [11,8,1] 4 0
2.0.19.1 5 [11,8,1] 4 0
2.0.19.1 6 [11,8,1] 6 0
2.0.19.1 7 [11,8,1] 8 0
2.0.19.1 8 [11,8,1] 10 0
2.0.19.1 2 [119,47,1] 0 0
2.0.19.1 3 [119,47,1] 4 0
2.0.19.1 4 [119,47,1] 8 0
2.0.19.1 2 [119,54,1] 0 0
2.0.19.1 3 [119,54,1] 4 0
2.0.19.1 4 [119,54,1] 8 0
2.0.19.1 2 [119,64,1] 0 0
2.0.19.1 3 [119,64,1] 4 0
2.0.19.1 4 [119,64,1] 8 0
2.0.19.1 2 [119,71,1] 0 0
2.0.19.1 3 [119,71,1] 4 0
2.0.19.1 4 [119,71,1] 8 0
2.0.19.1 2 [121,0,11] 11 11
2.0.19.1 3 [121,0,11] 20 16
2.0.19.1 4 [121,0,11] 32 24
2.0.19.1 2 [121,24,1] 0 0
2.0.19.1 3 [121,24,1] 4 1
2.0.19.1 4 [121,24,1] 8 2
2.0.19.1 2 [121,96,1] 0 0
2.0.19.1 3 [121,96,1] 4 1
2.0.19.1 4 [121,96,1] 8 2
2.0.19.1 2 [125,0,5] 9 3
2.0.19.1 3 [125,0,5] 26 6
2.0.19.1 2 [125,20,5] 9 3
2.0.19.1 3 [125,20,5] 26 6
2.0.19.1 2 [125,29,1] 4 4
2.0.19.1 3 [125,29,1] 6 0
2.0.19.1 4 [125,29,1] 12 0
2.0.19.1 2 [125,95,1] 4 4
2.0.19.1 3 [125,95,1] 6 0
2.0.19.1 4 [125,95,1] 12 0
2.0.19.1 2 [131,105,1] 0 0
2.0.19.1 3 [131,105,1] 2 0
2.0.19.1 4 [131,105,1] 4 0
2.0.19.1 2 [131,25,1] 0 0
2.0.19.1 3 [131,25,1] 2 0
2.0.19.1 4 [131,25,1] 4 0
2.0.19.1 2 [133,47,1] 2 0
2.0.19.1 3 [133,47,1] 4 0
2.0.19.1 4 [133,47,1] 16 0
2.0.19.1 2 [133,85,1] 2 0
2.0.19.1 3 [133,85,1] 4 0
2.0.19.1 4 [133,85,1] 16 0
2.0.19.1 2 [137,11,1] 0 0
2.0.19.1 3 [137,11,1] 2 0
2.0.19.1 4 [137,11,1] 4 0
2.0.19.1 2 [137,125,1] 0 0
2.0.19.1 3 [137,125,1] 2 0
2.0.19.1 4 [137,125,1] 4 0
2.0.19.1 2 [139,56,1] 0 0
2.0.19.1 3 [139,56,1] 2 0
2.0.19.1 4 [139,56,1] 4 0
2.0.19.1 2 [139,82,1] 0 0
2.0.19.1 3 [139,82,1] 2 0
2.0.19.1 4 [139,82,1] 4 0
2.0.19.1 2 [140,10,2] 7 1
2.0.19.1 3 [140,10,2] 12 0
2.0.19.1 2 [140,30,2] 6 0
2.0.19.1 3 [140,30,2] 12 0
2.0.19.1 2 [140,38,2] 6 0
2.0.19.1 3 [140,38,2] 12 0
2.0.19.1 2 [140,58,2] 7 1
2.0.19.1 3 [140,58,2] 12 0
2.0.19.1 2 [144,0,12] 15 3
2.0.19.1 3 [144,0,12] 36 3
2.0.19.1 2 [149,58,1] 0 0
2.0.19.1 3 [149,58,1] 2 0
2.0.19.1 4 [149,58,1] 4 0
2.0.19.1 2 [149,90,1] 0 0
2.0.19.1 3 [149,90,1] 2 0
2.0.19.1 4 [149,90,1] 4 0
2.0.19.1 2 [153,39,3] 4 0
2.0.19.1 3 [153,39,3] 10 0
2.0.19.1 2 [153,9,3] 4 0
2.0.19.1 3 [153,9,3] 10 0
2.0.19.1 2 [157,115,1] 2 2
2.0.19.1 3 [157,115,1] 2 0
2.0.19.1 4 [157,115,1] 4 0
2.0.19.1 2 [157,41,1] 2 2
2.0.19.1 3 [157,41,1] 2 0
2.0.19.1 2 [16,0,4] 2 0
2.0.19.1 3 [16,0,4] 6 1
2.0.19.1 4 [16,0,4] 11 1
2.0.19.1 5 [16,0,4] 16 2
